Wall,Wall,Exit,Wall,Wall,Wall,Wall,Wall,Space,Wall
Wall,Exit,Space,Exit,Space,Wall,Space,Exit,Space,Exit
Exit,Wall,Space,Wall,Space,Space,Space,Wall,Exit,Wall
Space,Space,Space,Wall,Space,Space,Space,Wall,Wall,Wall
Wall,Space,Space,Space,Exit,Space,Space,Space,Wall,Wall
Wall,Wall,Space,Space,Space,Space,Space,Space,Space,Exit
Exit,Space,Space,Space,Space,Space,Space,Wall,Exit,Wall
Space,Exit,Space,Wall,Wall,Space,Wall,Exit,Space,Space
Space,Space,Exit,Wall,Wall,Space,Exit,Wall,Exit,Wall
Space,Exit,Space,Wall,Wall,Exit,Wall,Space,Wall,Wall
