Wall,Wall,Wall,Space,Exit,Wall,Wall,Wall,Wall,Wall
Wall,Wall,Space,Space,Space,Exit,Space,Exit,Wall,Exit
Exit,Space,Space,Space,Space,Space,Space,Space,Space,Space
Space,Space,Space,Space,Space,Space,Space,Space,Space,Exit
Exit,Space,Space,Wall,Space,Space,Space,Space,Space,Wall
Wall,Space,Wall,Space,Space,Wall,Space,Exit,Space,Wall
Exit,Space,Space,Wall,Space,Space,Exit,Space,Exit,Wall
Space,Space,Wall,Space,Space,Space,Space,Space,Space,Exit
Exit,Space,Exit,Wall,Exit,Space,Space,Space,Space,Space
Wall,Wall,Wall,Wall,Wall,Wall,Space,Exit,Space,Exit
