Space,Exit,Space,Wall,Wall,Exit,Wall,Exit,Wall,Exit
Exit,Space,Exit,Wall,Space,Space,Space,Space,Space,Space
Space,Space,Space,Space,Space,Exit,Space,Exit,Space,Space
Wall,Space,Space,Wall,Exit,Wall,Space,Wall,Space,Wall
Wall,Space,Wall,Space,Space,Space,Space,Exit,Wall,Wall
Exit,Space,Exit,Space,Space,Space,Space,Wall,Wall,Wall
Wall,Exit,Wall,Space,Space,Exit,Space,Exit,Wall,Wall
Exit,Space,Space,Space,Space,Space,Space,Space,Exit,Space
Wall,Exit,Wall,Wall,Space,Space,Space,Space,Space,Exit
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Space,Exit,Space
