Space,Space,Space,Space,Exit,Wall,Exit,Wall,Wall,Wall
Space,Exit,Space,Exit,Space,Space,Space,Exit,Space,Exit
Exit,Space,Space,Wall,Space,Wall,Exit,Wall,Space,Space
Space,Space,Space,Space,Space,Space,Space,Space,Space,Exit
Exit,Space,Space,Space,Space,Space,Space,Space,Exit,Wall
Wall,Space,Wall,Exit,Wall,Space,Space,Space,Wall,Wall
Exit,Wall,Exit,Space,Space,Space,Exit,Space,Exit,Wall
Wall,Space,Wall,Space,Space,Space,Space,Space,Space,Wall
Wall,Wall,Exit,Wall,Exit,Space,Space,Space,Wall,Wall
Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
