Wall,Wall,Space,Space,Space,Wall,Space,Exit,Space,Wall
Wall,Space,Exit,Space,Space,Wall,Space,Wall,Space,Wall
Wall,Space,Space,Space,Space,Space,Space,Exit,Space,Exit
Wall,Space,Exit,Space,Exit,Space,Space,Wall,Exit,Wall
Wall,Space,Wall,Space,Space,Space,Wall,Space,Space,Exit
Exit,Wall,Space,Wall,Space,Space,Space,Space,Space,Space
Space,Space,Space,Exit,Space,Exit,Wall,Exit,Wall,Space
Exit,Space,Exit,Wall,Space,Wall,Wall,Space,Space,Space
Space,Exit,Space,Space,Space,Wall,Wall,Exit,Space,Exit
Wall,Wall,Exit,Space,Exit,Wall,Wall,Wall,Wall,Wall
