Exit,Space,Exit,Space,Wall,Wall,Exit,Wall,Exit,Wall
Wall,Space,Space,Space,Wall,Exit,Space,Space,Space,Wall
Exit,Space,Space,Space,Space,Wall,Exit,Wall,Space,Wall
Wall,Exit,Wall,Space,Space,Space,Space,Exit,Space,Wall
Wall,Wall,Space,Space,Space,Wall,Space,Space,Space,Space
Wall,Wall,Wall,Space,Space,Exit,Space,Exit,Space,Exit
Wall,Wall,Space,Wall,Space,Space,Space,Space,Space,Space
Wall,Wall,Space,Exit,Space,Space,Space,Space,Space,Exit
Wall,Wall,Space,Space,Exit,Wall,Wall,Wall,Wall,Wall
Wall,Wall,Space,Exit,Space,Wall,Wall,Wall,Wall,Wall
