Wall,Wall,Wall,Wall,Wall,Wall,Wall,Exit,Wall,Exit
Exit,Space,Exit,Wall,Wall,Wall,Exit,Space,Exit,Space
Space,Space,Space,Wall,Wall,Exit,Wall,Space,Wall,Space
Exit,Space,Space,Space,Exit,Space,Space,Space,Space,Space
Wall,Wall,Space,Space,Wall,Exit,Wall,Space,Wall,Space
Exit,Space,Space,Space,Space,Space,Space,Space,Space,Space
Space,Exit,Space,Wall,Wall,Exit,Wall,Exit,Space,Exit
Space,Space,Exit,Space,Space,Space,Space,Space,Space,Space
Space,Space,Space,Exit,Wall,Exit,Space,Exit,Space,Wall
Wall,Space,Exit,Space,Wall,Space,Exit,Space,Exit,Wall
