Space,Exit,Space,Space,Wall,Exit,Wall,Wall,Wall,Wall
Exit,Space,Space,Space,Exit,Space,Wall,Wall,Wall,Wall
Space,Exit,Space,Space,Space,Space,Wall,Wall,Wall,Wall
Exit,Space,Space,Space,Exit,Space,Space,Space,Exit,Wall
Space,Space,Space,Space,Space,Space,Space,Space,Space,Exit
Exit,Space,Exit,Space,Wall,Space,Space,Space,Space,Space
Wall,Space,Space,Space,Space,Wall,Space,Space,Space,Exit
Exit,Space,Space,Wall,Space,Space,Space,Wall,Exit,Wall
Wall,Exit,Space,Space,Space,Space,Space,Space,Space,Exit
Wall,Wall,Exit,Wall,Wall,Wall,Wall,Wall,Exit,Wall
