Wall,Wall,Wall,Wall,Wall,Space,Space,Space,Exit,Wall
Wall,Wall,Wall,Exit,Space,Space,Wall,Space,Space,Wall
Exit,Wall,Space,Space,Space,Space,Space,Space,Space,Space
Wall,Exit,Wall,Wall,Space,Exit,Wall,Space,Wall,Exit
Exit,Space,Space,Space,Space,Space,Space,Space,Space,Space
Wall,Exit,Wall,Space,Space,Exit,Space,Space,Space,Wall
Wall,Wall,Space,Wall,Space,Space,Exit,Space,Space,Wall
Wall,Space,Wall,Exit,Space,Space,Space,Space,Space,Wall
Exit,Space,Exit,Wall,Space,Space,Space,Wall,Exit,Wall
Wall,Exit,Wall,Wall,Wall,Wall,Wall,Wall,Wall,Wall
