Wall,Wall,Exit,Wall,Exit,Wall,Wall,Wall,Wall,Wall
Wall,Space,Space,Exit,Space,Exit,Space,Wall,Wall,Wall
Space,Space,Space,Wall,Space,Wall,Exit,Wall,Exit,Wall
Wall,Exit,Wall,Space,Space,Space,Space,Exit,Space,Space
Space,Space,Exit,Space,Space,Wall,Exit,Wall,Exit,Wall
Wall,Space,Wall,Space,Wall,Space,Space,Space,Space,Exit
Exit,Space,Space,Space,Space,Space,Space,Space,Wall,Wall
Space,Space,Wall,Space,Space,Exit,Space,Exit,Wall,Wall
Wall,Space,Exit,Space,Space,Space,Exit,Space,Wall,Wall
Wall,Wall,Wall,Exit,Space,Space,Space,Wall,Wall,Wall
