Wall,Wall,Wall,Exit,Space,Space,Space,Exit,Wall,Wall
Exit,Space,Space,Space,Space,Space,Space,Space,Space,Space
Space,Space,Space,Space,Space,Wall,Space,Space,Space,Exit
Wall,Space,Exit,Space,Space,Wall,Space,Space,Exit,Space
Wall,Wall,Wall,Space,Wall,Exit,Space,Exit,Space,Space
Wall,Wall,Space,Wall,Exit,Wall,Space,Wall,Exit,Wall
Wall,Exit,Space,Exit,Wall,Exit,Space,Space,Space,Exit
Wall,Wall,Space,Wall,Space,Space,Space,Wall,Wall,Wall
Wall,Exit,Space,Exit,Space,Exit,Space,Wall,Wall,Wall
Wall,Wall,Exit,Wall,Space,Space,Exit,Wall,Wall,Wall
