,,,,,,Undf(Wall),Exit(Room),Undf(Wall),Undf(Wall),Undf(Wall),
,,Undf(Wall),Exit(Corridor),Undf(Wall),Undf(Wall),Undf(Wall),Space,Space,Space,Undf(Wall),
,,Exit(Corridor),Space,Space,Space,Space,Space,Space,Space,Undf(Wall),
,,Undf(Wall),Space,Space,Space,Undf(Wall),Space,Space,Space,Undf(Wall),
,,Undf(Wall),Undf(Wall),Space,Undf(Wall),Undf(Wall),Exit(Room),Undf(Wall),Undf(Wall),Undf(Wall),
,,,Undf(Wall),Space,Space,Space,Undf(Wall),,,,
,Undf(Wall),Exit(Corridor),Undf(Wall),Space,Space,Space,Undf(Wall),,,,
,Exit(Corridor),Space,Space,Space,Space,Space,Undf(Wall),,,,
,Undf(Wall),Exit(Corridor),Undf(Wall),Space,Undf(Wall),Undf(Wall),Undf(Wall),,,,
,,,Undf(Wall),Space,Undf(Wall),,,,,,
,,,Undf(Wall),Space,Exit(Corridor),,,,,,
,,,Undf(Wall),Exit(Corridor),Undf(Wall),,,,,,
