Undf(Wall),Exit(Room),Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Exit(Corridor),Undf(Wall),Exit(Room),Undf(Wall),Undf(Wall),Undf(Wall)
Exit(Room),Space,Space,Space,Space,Space,Space,Space,Space,Space,Space,Exit(Room)
Undf(Wall),Space,Space,Space,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Space,Space,Space,Undf(Wall)
Undf(Wall),Space,Space,Space,Undf(Wall),,,Undf(Wall),Space,Space,Space,Undf(Wall)
Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),,,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
