Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),,,,,,,,
Exit(Corridor),Space,Space,Exit(Corridor),,,,,,,,
Undf(Wall),Undf(Wall),Space,Undf(Wall),Undf(Wall),Undf(Wall),,,,,,
,Undf(Wall),Space,Space,Space,Undf(Wall),Undf(Wall),Exit(Corridor),Undf(Wall),,,
,Undf(Wall),Space,Space,Space,Undf(Wall),Undf(Wall),Space,Undf(Wall),,,
,Exit(Room),Space,Space,Space,Undf(Wall),Exit(Corridor),Space,Undf(Wall),,,
,Undf(Wall),Space,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Space,Undf(Wall),Undf(Wall),Exit(Corridor),Undf(Wall)
,Exit(Corridor),Space,Space,Space,Space,Space,Space,Space,Space,Space,Undf(Wall)
,Undf(Wall),Space,Space,Space,Undf(Wall),Space,Space,Space,Undf(Wall),Space,Undf(Wall)
,Undf(Wall),Undf(Wall),Exit(Corridor),Undf(Wall),Undf(Wall),Space,Space,Space,Undf(Wall),Exit(Corridor),Undf(Wall)
,,,,,Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),Undf(Wall),,
,,,,,,,,,,,
